Central,,
CST,0,0
Masjid Bunder,2000,2000
Sandhurst Road,1000,3000
Byculla,2000,5000
Chinchpokli,1000,6000
Currey Road,1000,7000
Parel,1000,8000
Dadar,1000,9000
Matunga,2000,11000
Sion,2000,13000
Kurla,3000,16000
Vidyavihar,2000,18000
Ghatkopar,2000,20000
Vikhroli,3000,23000
Kanjurmarg,2000,25000
Bhandup,1000,26000
Nahur,2000,28000
Mulund,3000,31000
Thane,3000,34000
Kalwa,2000,36000
Mumbra,4000,40000
Diwa,3000,43000
Kopar,4000,47000
Dombivli,2000,49000
Thakurli,1000,50000
Kalyan,4000,54000
